date,region,rw,population,inference,cases,hospit,deaths,cases_smoothed,hospit_smoothed,deaths_smoothed,cases_per_100000,hospit_per_100000,deaths_per_100000,cases_incidence,hospit_incidence,deaths_incidence,cumulative_cases,cumulative_hospit,cumulative_deaths
2020-12-10,zealand,133,838840,false,427,17,0,429.57142857142856,12.428571428571429,0.42857142857142855,50.90362882075247,2.02660817319155,0.0,300.1764341233132,9.536979638548472,0.2384244909637118,13183,960,151
2020-12-11,zealand,134,838840,false,505,15,2,459.57142857142856,14.285714285714286,0.42857142857142855,60.20218396833723,1.7881836822278383,0.2384244909637118,328.90658528444044,10.252253111439607,0.4768489819274236,13688,975,153
2020-12-12,zealand,135,838840,false,413,7,1,480.14285714285717,18.142857142857142,0.7142857142857143,49.23465738400648,0.8344857183729912,0.1192122454818559,346.3115731247914,9.656191884030328,0.3576367364455677,14101,982,154
2020-12-13,zealand,136,838840,false,376,19,0,515.4285714285714,19.571428571428573,1.0,44.823804301177816,2.265032664155262,0.0,358.4712221639407,10.371465356921464,0.3576367364455677,14477,1001,154
2020-12-14,zealand,137,838840,false,592,25,0,535.8571428571429,20.428571428571427,1.2857142857142858,70.57364932525869,2.9803061370463975,0.0,383.50579371513044,11.92122454818559,0.3576367364455677,15069,1026,154
2020-12-15,zealand,138,838840,false,610,35,2,531.5714285714286,22.142857142857142,1.5714285714285714,72.7194697439321,4.172428591864956,0.2384244909637118,400.67235706451766,15.139955176195699,0.5960612274092795,15679,1061,156
2020-12-16,zealand,139,838840,false,685,19,2,528.0,23.714285714285715,1.5714285714285714,81.66038815507129,2.265032664155262,0.2384244909637118,430.11778169853613,16.332077631014258,0.8344857183729912,16364,1080,158
2020-12-17,zealand,140,838840,false,570,23,2,531.2857142857143,24.428571428571427,2.0,67.95097992465787,2.7418816460826854,0.2384244909637118,447.1651328024415,17.04735110390539,1.0729102093367031,16934,1103,160
2020-12-18,zealand,141,838840,false,475,27,4,516.5714285714286,25.0,2.4285714285714284,56.62581660388155,3.218730628010109,0.4768489819274236,443.5887654379858,18.477898049687663,1.3113347003004148,17409,1130,164
2020-12-19,zealand,142,838840,false,388,18,1,495.0,24.428571428571427,3.0,46.254351246960084,2.1458204186734062,0.1192122454818559,440.60845930093933,19.789232749988077,1.3113347003004148,17797,1148,165
2020-12-20,zealand,143,838840,false,399,24,3,460.2857142857143,25.142857142857142,3.5714285714285716,47.565685947260505,2.8610938915645416,0.3576367364455677,443.3503409470222,20.38529397739736,1.6689714367459825,18196,1172,168
2020-12-21,zealand,144,838840,false,489,29,3,401.14285714285717,24.714285714285715,4.0,58.29478804062753,3.457155118973821,0.3576367364455677,431.0714796623909,20.862142959324782,2.02660817319155,18685,1201,171
2020-12-22,zealand,145,838840,false,459,31,6,362.57142857142856,24.428571428571427,3.7142857142857144,54.71842067617186,3.695579609937533,0.7152734728911354,413.0704305946307,20.38529397739736,2.503457155118974,19144,1232,177
2020-12-23,zealand,146,838840,false,442,24,6,370.7142857142857,24.285714285714285,4.285714285714286,52.691812502980305,2.8610938915645416,0.7152734728911354,384.1018549425397,20.981355204806636,2.9803061370463975,19586,1256,183
2020-12-24,zealand,147,838840,false,156,20,5,360.2857142857143,24.142857142857142,4.571428571428571,18.59711029516952,2.384244909637118,0.5960612274092795,334.74798531305134,20.62371846836107,3.337942873491965,19742,1276,188
2020-12-25,zealand,148,838840,false,205,25,2,368.14285714285717,25.428571428571427,4.428571428571429,24.43851032378046,2.9803061370463975,0.2384244909637118,302.56067903295025,20.38529397739736,3.0995183825282533,19947,1301,190
2020-12-26,zealand,149,838840,false,445,17,5,365.7142857142857,23.857142857142858,4.571428571428571,53.049449239425876,2.02660817319155,0.5960612274092795,309.35577702541605,20.266081731915502,3.5763673644556766,20392,1318,195
2020-12-27,zealand,150,838840,false,326,23,5,376.7142857142857,23.857142857142858,4.428571428571429,38.86319202708502,2.7418816460826854,0.5960612274092795,300.6532831052406,20.146869486433644,3.8147918554193887,20718,1341,200
2020-12-28,zealand,151,838840,false,544,38,2,376.2857142857143,23.714285714285715,4.428571428571429,64.8514615421296,4.530065328310524,0.2384244909637118,307.20995660674265,21.21977969577035,3.695579609937533,21262,1379,202
2020-12-29,zealand,152,838840,false,442,20,7,366.85714285714283,23.142857142857142,4.571428571428571,52.691812502980305,2.384244909637118,0.8344857183729912,305.1833484335511,19.908444995469935,3.8147918554193887,21704,1399,209
2020-12-30,zealand,153,838840,false,519,24,5,349.2857142857143,25.285714285714285,4.428571428571429,61.87115540508321,2.8610938915645416,0.5960612274092795,314.362691335654,19.908444995469935,3.695579609937533,22223,1423,214
2020-12-31,zealand,154,838840,false,153,19,5,334.2857142857143,25.857142857142858,4.285714285714286,18.239473558723954,2.265032664155262,0.5960612274092795,314.0050545992084,19.789232749988077,3.695579609937533,22376,1442,219
2021-01-01,zealand,155,838840,false,139,21,3,313.57142857142856,25.714285714285715,4.571428571428571,16.57050212197797,2.503457155118974,0.3576367364455677,306.137046397406,19.312383768060656,3.8147918554193887,22515,1463,222
2021-01-02,zealand,156,838840,false,322,32,4,300.42857142857144,25.714285714285715,3.857142857142857,38.3863430451576,3.8147918554193887,0.4768489819274236,291.47394020313766,21.100567450288494,3.695579609937533,22837,1495,226
2021-01-03,zealand,157,838840,false,221,27,4,265.14285714285717,26.285714285714285,4.285714285714286,26.345906251490153,3.218730628010109,0.4768489819274236,278.9566544275428,21.577416432215916,3.5763673644556766,23058,1522,230
2021-01-04,zealand,158,838840,false,399,37,4,278.7142857142857,26.714285714285715,4.285714285714286,47.565685947260505,4.410853082828668,0.4768489819274236,261.6708788326737,21.45820418673406,3.8147918554193887,23457,1559,234
